"","BalusC","Marc Gravell","Greg Hewgill","Jon Skeet","Darin Dimitrov"
"aaaaabcb",0.0,0.0,0.0,0.0,0.04929716179778092
"aaaaacbb",0.0,0.0,0.0,0.0,0.04929716179778092
"aaaaacbc",0.0,0.0,0.0,0.0,0.02464858089889046
"aaaaaccb",0.0,0.0,0.0,0.0,0.04929716179778092
"aaaabacb",0.0,0.03516915025121093,0.0,0.0,0.0
"aaaabbbc",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaaabbcc",0.0,0.011162470434926004,0.0,0.009826162447119856,0.007823306892018897
"aaaabcac",0.0,0.0,0.0,0.0,0.02464858089889046
"aaaabcbb",0.0,0.0,0.07333004116913089,0.0,0.0
"aaaabcbc",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaaabcca",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaaabccb",0.0,0.011162470434926004,0.0,0.009826162447119856,0.023469920676056688
"aaaabccc",0.0,0.0,0.0,0.0,0.07394574269667138
"aaaacabc",0.0,0.020022621670653398,0.02087425571751469,0.0,0.0
"aaaacbab",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaacbbb",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaacbbc",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaacbcb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaaacbcc",0.0,0.0,0.01163725041258491,0.009826162447119856,0.015646613784037793
"aaaaccab",0.0,0.011162470434926004,0.01163725041258491,0.0,0.007823306892018897
"aaaaccba",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaaaccbb",0.0,0.0,0.04174851143502938,0.0,0.028066029831925472
"aaaaccbc",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaaccca",0.0,0.0,0.02087425571751469,0.0,0.056132059663850944
"aaaacccb",0.0,0.0,0.01163725041258491,0.019652324894239712,0.007823306892018897
"aaaacccc",0.027237745831209297,0.0,0.0,0.01762562636112074,0.0
"aaabaacc",0.0,0.0,0.04174851143502938,0.03525125272224148,0.0
"aaababcb",0.0,0.020022621670653398,0.02087425571751469,0.0,0.0
"aaababcc",0.030369702585004297,0.0,0.0,0.009826162447119856,0.015646613784037793
"aaabacac",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabacbc",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabacca",0.0,0.0,0.0,0.030958897988593467,0.0
"aaabaccb",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaabaccc",0.01326637304764228,0.0,0.005083490850463942,0.0042923547336480156,0.006834897866070024
"aaabbabc",0.0,0.0,0.04174851143502938,0.0,0.028066029831925472
"aaabbaca",0.0,0.0,0.036665020584565444,0.0,0.0
"aaabbacb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabbacc",0.0,0.0,0.08349702287005877,0.0,0.12629713424366462
"aaabbbac",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabbbbc",0.0,0.011162470434926004,0.03491175123775473,0.0,0.039116534460094485
"aaabbbca",0.0,0.0,0.0,0.0,0.14789148539334276
"aaabbbcb",0.0,0.00975218618019174,0.015250472551391824,0.0042923547336480156,0.03759193826338513
"aaabbbcc",0.0,0.01462827927028761,0.020333963401855767,0.017169418934592062,0.020504693598210076
"aaabbcaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aaabbcab",0.0,0.0,0.0,0.0,0.04929716179778092
"aaabbcac",0.0,0.0,0.04174851143502938,0.0,0.014033014915962736
"aaabbcba",0.0,0.0,0.0,0.0,0.04929716179778092
"aaabbcbb",0.0,0.0,0.01163725041258491,0.009826162447119856,0.023469920676056688
"aaabbcbc",0.0,0.00487609309009587,0.005083490850463942,0.0042923547336480156,0.010252346799105038
"aaabbcca",0.0,0.040045243341306797,0.0,0.0,0.08419808949577641
"aaabbccb",0.0,0.0,0.02327450082516982,0.029478487341359567,0.07823306892018897
"aaabbccc",0.0,0.011162470434926004,0.0,0.019652324894239712,0.015646613784037793
"aaabcaac",0.0,0.0,0.07333004116913089,0.0,0.0
"aaabcaba",0.0,0.0,0.036665020584565444,0.0,0.0
"aaabcabb",0.0,0.0,0.0,0.030958897988593467,0.0
"aaabcabc",0.027237745831209297,0.08009048668261359,0.0,0.0,0.0
"aaabcaca",0.0,0.0,0.01163725041258491,0.009826162447119856,0.007823306892018897
"aaabcacb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabcacc",0.0,0.0,0.0,0.01762562636112074,0.028066029831925472
"aaabcbaa",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabcbab",0.0,0.011162470434926004,0.01163725041258491,0.0,0.015646613784037793
"aaabcbac",0.0,0.040045243341306797,0.02087425571751469,0.0,0.0
"aaabcbba",0.0,0.0,0.02087425571751469,0.0,0.042099044747888205
"aaabcbbb",0.019899559571463422,0.00487609309009587,0.020333963401855767,0.0,0.030757040397315107
"aaabcbbc",0.0,0.044649881739704016,0.02327450082516982,0.0,0.046939841352113376
"aaabcbca",0.0,0.040045243341306797,0.0,0.0,0.07016507457981368
"aaabcbcb",0.0,0.00975218618019174,0.010166981700927884,0.0042923547336480156,0.020504693598210076
"aaabcbcc",0.027237745831209297,0.0,0.0,0.0,0.028066029831925472
"aaabccaa",0.0,0.0,0.07333004116913089,0.0,0.0
"aaabccab",0.0,0.03348741130477801,0.02327450082516982,0.0,0.007823306892018897
"aaabccba",0.01326637304764228,0.00487609309009587,0.03558443595324759,0.0,0.027339591464280097
"aaabccbc",0.0,0.020022621670653398,0.0,0.0,0.028066029831925472
"aaabccca",0.0,0.0,0.01163725041258491,0.029478487341359567,0.046939841352113376
"aaacaabb",0.0,0.03516915025121093,0.0,0.0,0.0
"aaacaabc",0.0,0.0,0.10999506175369632,0.0,0.0
"aaacaacb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaacaacc",0.0,0.020022621670653398,0.0,0.0,0.028066029831925472
"aaacabac",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aaacabbb",0.015184851292502148,0.0,0.0,0.009826162447119856,0.015646613784037793
"aaacabbc",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacabca",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacabcb",0.027237745831209297,0.0,0.0,0.0,0.042099044747888205
"aaacabcc",0.0,0.0,0.0,0.0,0.02464858089889046
"aaacacba",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aaacacbb",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacacbc",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaacacca",0.0,0.0,0.0,0.0,0.02464858089889046
"aaacaccb",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacbaaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacbaac",0.0,0.0,0.02087425571751469,0.0,0.028066029831925472
"aaacbaba",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacbabb",0.0,0.0,0.02327450082516982,0.009826162447119856,0.039116534460094485
"aaacbabc",0.00663318652382114,0.03900874472076696,0.015250472551391824,0.0,0.003417448933035012
"aaacbaca",0.0,0.011162470434926004,0.02327450082516982,0.0,0.023469920676056688
"aaacbacb",0.0,0.044649881739704016,0.01163725041258491,0.0,0.039116534460094485
"aaacbacc",0.0,0.10011310835326699,0.0,0.0,0.08419808949577641
"aaacbbaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacbbab",0.0,0.011162470434926004,0.02327450082516982,0.0,0.007823306892018897
"aaacbbac",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacbbba",0.0,0.011162470434926004,0.01163725041258491,0.0,0.039116534460094485
"aaacbbbb",0.0,0.01462827927028761,0.010166981700927884,0.0042923547336480156,0.03759193826338513
"aaacbbbc",0.0,0.024380465450479352,0.015250472551391824,0.0042923547336480156,0.013669795732140048
"aaacbbca",0.0,0.00487609309009587,0.010166981700927884,0.0042923547336480156,0.03417448933035012
"aaacbbcc",0.00663318652382114,0.00975218618019174,0.0,0.0042923547336480156,0.01708724466517506
"aaacbcaa",0.00663318652382114,0.00487609309009587,0.010166981700927884,0.0,0.006834897866070024
"aaacbcab",0.00663318652382114,0.00487609309009587,0.0,0.0042923547336480156,0.013669795732140048
"aaacbcac",0.015184851292502148,0.0,0.01163725041258491,0.0,0.007823306892018897
"aaacbcba",0.04555455387750645,0.0,0.02327450082516982,0.0,0.07823306892018897
"aaacbcbc",0.0,0.011162470434926004,0.01163725041258491,0.0,0.039116534460094485
"aaacbcca",0.0,0.011162470434926004,0.0,0.019652324894239712,0.039116534460094485
"aaacbccb",0.0,0.0,0.06982350247550946,0.019652324894239712,0.07040976202817006
"aaacbccc",0.0,0.0,0.0,0.030958897988593467,0.0
"aaaccaaa",0.0,0.022324940869852008,0.01163725041258491,0.0,0.023469920676056688
"aaaccaab",0.015184851292502148,0.0,0.02327450082516982,0.0,0.023469920676056688
"aaaccaac",0.0,0.07033830050242186,0.0,0.0,0.0
"aaaccaba",0.0,0.0,0.06262276715254407,0.0,0.014033014915962736
"aaaccabb",0.0,0.01950437236038348,0.005083490850463942,0.0042923547336480156,0.030757040397315107
"aaaccabc",0.0,0.060067865011960195,0.02087425571751469,0.0,0.0
"aaaccaca",0.0,0.00487609309009587,0.005083490850463942,0.008584709467296031,0.003417448933035012
"aaaccacb",0.0,0.022324940869852008,0.01163725041258491,0.0,0.039116534460094485
"aaaccacc",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaaccbaa",0.030369702585004297,0.0,0.09309800330067929,0.0,0.039116534460094485
"aaaccbab",0.02653274609528456,0.00487609309009587,0.005083490850463942,0.0,0.020504693598210076
"aaaccbac",0.015184851292502148,0.011162470434926004,0.0,0.0,0.015646613784037793
"aaaccbba",0.01326637304764228,0.024380465450479352,0.015250472551391824,0.0,0.06834897866070024
"aaaccbbc",0.019899559571463422,0.00975218618019174,0.010166981700927884,0.0,0.013669795732140048
"aaaccbca",0.0,0.0,0.0,0.0,0.3697287134833569
"aaaccbcb",0.01326637304764228,0.00487609309009587,0.0,0.012877064200944047,0.027339591464280097
"aaacccaa",0.04555455387750645,0.0,0.1047352537132642,0.0,0.07823306892018897
"aaacccab",0.01326637304764228,0.0,0.020333963401855767,0.0042923547336480156,0.013669795732140048
"aaacccba",0.0331659326191057,0.00487609309009587,0.010166981700927884,0.0,0.05809663186159521
"aaacccca",0.0,0.0,0.0,0.03525125272224148,0.042099044747888205
"aaaccccb",0.00663318652382114,0.0,0.005083490850463942,0.0042923547336480156,0.003417448933035012
"aabaaabc",0.0,0.0,0.036665020584565444,0.0,0.0
"aabaaacc",0.0,0.0,0.04174851143502938,0.01762562636112074,0.0
"aabaabcb",0.0,0.011162470434926004,0.01163725041258491,0.0,0.007823306892018897
"aabaabcc",0.0,0.0,0.036665020584565444,0.0,0.0
"aabaacab",0.0,0.0,0.036665020584565444,0.0,0.0
"aabaacbc",0.0,0.0,0.0,0.06191779597718693,0.0
"aabaaccb",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aabaaccc",0.0,0.0,0.0,0.06191779597718693,0.0
"aabababc",0.015184851292502148,0.022324940869852008,0.01163725041258491,0.0,0.0
"aababacb",0.0,0.0,0.0,0.030958897988593467,0.0
"aababbac",0.0,0.0,0.036665020584565444,0.0,0.0
"aababbbc",0.0,0.011162470434926004,0.01163725041258491,0.009826162447119856,0.0
"aababbcb",0.0,0.011162470434926004,0.02327450082516982,0.019652324894239712,0.0
"aababbcc",0.0,0.08009048668261359,0.0,0.08812813180560371,0.0
"aababcab",0.0,0.0,0.036665020584565444,0.0,0.0
"aababcba",0.0,0.0,0.07333004116913089,0.0,0.0
"aababcbb",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aababcbc",0.0,0.022324940869852008,0.02327450082516982,0.009826162447119856,0.0
"aababccb",0.0,0.0,0.04174851143502938,0.10575375816672443,0.0
"aababccc",0.0,0.0,0.0,0.0928766939657804,0.0
"aabacabb",0.0,0.0,0.07333004116913089,0.0,0.0
"aabacabc",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aabacacb",0.0,0.040045243341306797,0.06262276715254407,0.0,0.0
"aabacacc",0.0,0.040045243341306797,0.04174851143502938,0.0,0.0
"aabacbab",0.0,0.0,0.036665020584565444,0.0,0.0
"aabacbac",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aabacbba",0.0,0.020022621670653398,0.06262276715254407,0.0,0.0
"aabacbbb",0.027237745831209297,0.020022621670653398,0.0,0.0,0.0
"aabacbbc",0.015184851292502148,0.011162470434926004,0.03491175123775473,0.0,0.0
"aabacbca",0.0,0.03516915025121093,0.0,0.0,0.0
"aabacbcb",0.0,0.03516915025121093,0.0,0.0,0.0
"aabacbcc",0.0,0.020022621670653398,0.0,0.01762562636112074,0.0
"aabaccaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aabaccab",0.0,0.0,0.07333004116913089,0.0,0.0
"aabaccac",0.0,0.0,0.10999506175369632,0.0,0.0
"aabaccbb",0.00663318652382114,0.00975218618019174,0.015250472551391824,0.0042923547336480156,0.0
"aabaccca",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aabacccb",0.0,0.0,0.04174851143502938,0.01762562636112074,0.0
"aabbaabc",0.0,0.07033830050242186,0.0,0.0,0.0
"aabbaacb",0.015184851292502148,0.0,0.01163725041258491,0.019652324894239712,0.0
"aabbaacc",0.0,0.022324940869852008,0.04654900165033964,0.0,0.015646613784037793
"aabbabac",0.0,0.0,0.0,0.030958897988593467,0.0
"aabbabbc",0.0,0.0,0.04174851143502938,0.03525125272224148,0.0
"aabbabca",0.0,0.0,0.036665020584565444,0.0,0.0
"aabbabcb",0.0,0.0,0.0,0.0928766939657804,0.0
"aabbabcc",0.0,0.00487609309009587,0.005083490850463942,0.017169418934592062,0.003417448933035012
"aabbacab",0.0,0.0,0.036665020584565444,0.0,0.0
"aabbacac",0.0,0.03516915025121093,0.0,0.0,0.0
"aabbacbb",0.0,0.011162470434926004,0.01163725041258491,0.009826162447119856,0.0
"aabbacbc",0.015184851292502148,0.022324940869852008,0.0,0.009826162447119856,0.0
"aabbaccb",0.0,0.01462827927028761,0.015250472551391824,0.030046483135536112,0.003417448933035012
"aabbaccc",0.0,0.020022621670653398,0.0,0.03525125272224148,0.0
"aabbbabc",0.0,0.040045243341306797,0.04174851143502938,0.0,0.0
"aabbbacb",0.0,0.00487609309009587,0.005083490850463942,0.012877064200944047,0.003417448933035012
"aabbbacc",0.0,0.06697482260955602,0.01163725041258491,0.019652324894239712,0.0
"aabbbbab",0.0,0.0,0.036665020584565444,0.0,0.0
"aabbbbac",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aabbbbbb",0.0,0.0,0.036665020584565444,0.0,0.0
"aabbbbbc",0.0,0.00975218618019174,0.025417454252319706,0.025754128401888093,0.003417448933035012
"aabbbbca",0.0,0.03348741130477801,0.01163725041258491,0.019652324894239712,0.0
"aabbbbcb",0.0,0.01462827927028761,0.03558443595324759,0.06867767573836825,0.003417448933035012
"aabbbbcc",0.015184851292502148,0.03348741130477801,0.0,0.11791394936543827,0.0
"aabbbcaa",0.0,0.0,0.14666008233826178,0.0,0.0
"aabbbcab",0.0,0.0,0.04174851143502938,0.052876879083362215,0.0
"aabbbcac",0.0,0.03348741130477801,0.02327450082516982,0.009826162447119856,0.0
"aabbbcba",0.0,0.0,0.08349702287005877,0.08812813180560371,0.0
"aabbbcbb",0.02653274609528456,0.024380465450479352,0.03558443595324759,0.11589357780849643,0.0
"aabbbcbc",0.030369702585004297,0.0,0.01163725041258491,0.039304649788479425,0.0
"aabbbcca",0.0,0.022324940869852008,0.058186252062924555,0.11791394936543827,0.0
"aabbbccb",0.030369702585004297,0.03348741130477801,0.0,0.3537418480963148,0.0
"aabbbccc",0.015184851292502148,0.011162470434926004,0.0,0.14739243670679786,0.0
"aabbcaab",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aabbcaac",0.0,0.07033830050242186,0.0,0.0,0.0
"aabbcaba",0.0,0.03516915025121093,0.0,0.0,0.0
"aabbcabb",0.00663318652382114,0.024380465450479352,0.015250472551391824,0.012877064200944047,0.0
"aabbcabc",0.00663318652382114,0.00975218618019174,0.020333963401855767,0.008584709467296031,0.0
"aabbcacb",0.00663318652382114,0.01462827927028761,0.010166981700927884,0.0042923547336480156,0.0
"aabbcacc",0.0,0.020022621670653398,0.02087425571751469,0.0,0.0
"aabbcbaa",0.015184851292502148,0.03348741130477801,0.04654900165033964,0.0,0.0
"aabbcbab",0.0,0.044649881739704016,0.04654900165033964,0.019652324894239712,0.0
"aabbcbac",0.00663318652382114,0.02925655854057522,0.010166981700927884,0.017169418934592062,0.0
"aabbcbba",0.00663318652382114,0.024380465450479352,0.015250472551391824,0.008584709467296031,0.0
"aabbcbbc",0.0,0.04388483781086283,0.04575141765417547,0.03863119260283214,0.003417448933035012
"aabbcbca",0.019899559571463422,0.01462827927028761,0.005083490850463942,0.025754128401888093,0.0
"aabbcbcc",0.0,0.0,0.0,0.052876879083362215,0.014033014915962736
"aabbccaa",0.030369702585004297,0.0,0.11637250412584911,0.039304649788479425,0.0
"aabbccab",0.02653274609528456,0.01950437236038348,0.030500945102783648,0.017169418934592062,0.0
"aabbccac",0.027237745831209297,0.0,0.02087425571751469,0.0,0.0
"aabbccbb",0.046432305666747976,0.00975218618019174,0.025417454252319706,0.12877064200944047,0.0
"aabbccbc",0.015184851292502148,0.03348741130477801,0.0,0.049130812235599286,0.0
"aabbccca",0.04555455387750645,0.0,0.01163725041258491,0.07860929957695885,0.0
"aabbcccb",0.027237745831209297,0.0,0.0,0.14100501088896591,0.0
"aabbcccc",0.0,0.0,0.0,0.030958897988593467,0.0
"aabcaaab",0.0,0.03516915025121093,0.0,0.0,0.0
"aabcaaac",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aabcaabb",0.0,0.03348741130477801,0.01163725041258491,0.009826162447119856,0.0
"aabcaabc",0.0,0.044649881739704016,0.0,0.019652324894239712,0.007823306892018897
"aabcaacb",0.0,0.07033830050242186,0.0,0.0,0.0
"aabcaacc",0.00663318652382114,0.00975218618019174,0.020333963401855767,0.0,0.003417448933035012
"aabcabac",0.0,0.020022621670653398,0.02087425571751469,0.0,0.0
"aabcabba",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aabcabbb",0.0,0.011162470434926004,0.03491175123775473,0.009826162447119856,0.0
"aabcabbc",0.0,0.03348741130477801,0.02327450082516982,0.009826162447119856,0.0
"aabcabca",0.0,0.0,0.036665020584565444,0.0,0.0
"aabcabcb",0.01326637304764228,0.01950437236038348,0.0,0.034338837869184125,0.010252346799105038
"aabcabcc",0.0,0.0,0.0,0.06191779597718693,0.0
"aabcacab",0.0,0.011162470434926004,0.01163725041258491,0.009826162447119856,0.0
"aabcacba",0.0,0.020022621670653398,0.0,0.01762562636112074,0.0
"aabcacbb",0.0,0.011162470434926004,0.01163725041258491,0.029478487341359567,0.0
"aabcacbc",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aabcacca",0.0,0.020022621670653398,0.0,0.01762562636112074,0.0
"aabcaccb",0.0,0.040045243341306797,0.0,0.10575375816672443,0.0
"aabcaccc",0.04784230513859746,0.0,0.0,0.0,0.0
"aabcbaaa",0.0,0.03516915025121093,0.0,0.0,0.0
"aabcbaab",0.00663318652382114,0.02925655854057522,0.005083490850463942,0.0042923547336480156,0.0
"aabcbaba",0.0,0.060067865011960195,0.04174851143502938,0.0,0.0
"aabcbabb",0.0,0.15627458608896405,0.03491175123775473,0.029478487341359567,0.0
"aabcbaca",0.0,0.08009048668261359,0.0,0.0,0.014033014915962736
"aabcbacb",0.0,0.01462827927028761,0.015250472551391824,0.0042923547336480156,0.006834897866070024
"aabcbacc",0.00663318652382114,0.00487609309009587,0.010166981700927884,0.008584709467296031,0.0
"aabcbbaa",0.046432305666747976,0.01462827927028761,0.020333963401855767,0.0,0.003417448933035012
"aabcbbab",0.046432305666747976,0.01950437236038348,0.010166981700927884,0.0,0.003417448933035012
"aabcbbac",0.019899559571463422,0.01462827927028761,0.010166981700927884,0.0042923547336480156,0.0
"aabcbbcc",0.0,0.060067865011960195,0.0,0.07050250544448296,0.0
"aabcbcaa",0.05306549219056912,0.00975218618019174,0.030500945102783648,0.008584709467296031,0.0
"aabcbcab",0.0911091077550129,0.0,0.06982350247550946,0.07860929957695885,0.0
"aabcbcac",0.0,0.022324940869852008,0.01163725041258491,0.019652324894239712,0.0
"aabcbcbc",0.0,0.022324940869852008,0.01163725041258491,0.039304649788479425,0.0
"aabcbccb",0.019899559571463422,0.00487609309009587,0.020333963401855767,0.06867767573836825,0.0
"aabccaaa",0.0,0.011162470434926004,0.03491175123775473,0.009826162447119856,0.0
"aabccaab",0.02653274609528456,0.05363702399105457,0.005083490850463942,0.0,0.003417448933035012
"aabccaac",0.0,0.03413265163067109,0.005083490850463942,0.0042923547336480156,0.003417448933035012
"aabccabb",0.019899559571463422,0.07314139635143806,0.010166981700927884,0.02146177366824008,0.0
"aabccabc",0.00663318652382114,0.00975218618019174,0.005083490850463942,0.0042923547336480156,0.0
"aabccaca",0.0,0.011162470434926004,0.01163725041258491,0.019652324894239712,0.0
"aabccacb",0.0,0.060067865011960195,0.02087425571751469,0.0,0.0
"aabccbac",0.0,0.18020359503588057,0.0,0.08812813180560371,0.0
"aabccbbc",0.00663318652382114,0.01950437236038348,0.005083490850463942,0.008584709467296031,0.0
"aabccbcb",0.060739405170008594,0.0,0.02327450082516982,0.068783137129839,0.0
"aabccbcc",0.04784230513859746,0.0,0.0,0.0,0.0
"aabcccab",0.08623142480967481,0.024380465450479352,0.015250472551391824,0.02146177366824008,0.0
"aabcccac",0.04784230513859746,0.0,0.0,0.0,0.0
"aabcccbb",0.05306549219056912,0.00975218618019174,0.0,0.08155473993931231,0.003417448933035012
"aabcccbc",0.0,0.0,0.0,0.030958897988593467,0.0
"aabcccca",0.0,0.0,0.0,0.07050250544448296,0.014033014915962736
"aabccccb",0.0,0.0,0.0,0.030958897988593467,0.0
"aacaaabc",0.0,0.020022621670653398,0.02087425571751469,0.0,0.0
"aacaaacc",0.0,0.0,0.036665020584565444,0.0,0.0
"aacaabca",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aacaabcb",0.0,0.020022621670653398,0.0,0.01762562636112074,0.0
"aacaabcc",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aacaacac",0.0,0.0,0.036665020584565444,0.0,0.0
"aacaacbb",0.0,0.0,0.0,0.06191779597718693,0.0
"aacababa",0.0,0.0,0.036665020584565444,0.0,0.0
"aacababb",0.0,0.03516915025121093,0.0,0.0,0.0
"aacababc",0.0,0.0,0.10999506175369632,0.0,0.0
"aacabacc",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aacabbab",0.0,0.0,0.036665020584565444,0.0,0.0
"aacabbac",0.0,0.0,0.10999506175369632,0.0,0.0
"aacabbbb",0.0,0.0,0.06262276715254407,0.01762562636112074,0.0
"aacabbbc",0.0,0.020022621670653398,0.06262276715254407,0.0,0.0
"aacabbcb",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aacabbcc",0.0,0.0,0.0,0.030958897988593467,0.0
"aacabcaa",0.0,0.0,0.07333004116913089,0.0,0.0
"aacabcab",0.0,0.040045243341306797,0.02087425571751469,0.0,0.0
"aacabcba",0.0,0.0,0.04174851143502938,0.01762562636112074,0.0
"aacabcbb",0.0,0.060067865011960195,0.0,0.12337938452784518,0.0
"aacabcbc",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aacabccb",0.0,0.020022621670653398,0.0,0.12337938452784518,0.0
"aacacaac",0.0,0.03516915025121093,0.0,0.0,0.0
"aacacaba",0.027237745831209297,0.0,0.02087425571751469,0.0,0.0
"aacacabb",0.0,0.03516915025121093,0.0,0.0,0.0
"aacacabc",0.0,0.07033830050242186,0.0,0.0,0.0
"aacacacb",0.0,0.03516915025121093,0.0,0.0,0.0
"aacacbaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aacacbac",0.04784230513859746,0.0,0.0,0.0,0.0
"aacacbba",0.0,0.0,0.07333004116913089,0.0,0.0
